




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (21)	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K9me3_HCT116.intersect_with_DeepZ.genes_uniq.txt (raw P-value)
protein localization to heterochromatin (GO:0097355)	2	1	.00	+	 > 100	3.05E-03
fasciculation of motor neuron axon (GO:0097156)	2	1	.00	+	 > 100	3.05E-03
detection of chemical stimulus involved in sensory perception of pain (GO:0050968)	3	1	.00	+	 > 100	4.07E-03
mesodermal to mesenchymal transition involved in gastrulation (GO:0060809)	3	1	.00	+	 > 100	4.07E-03
fasciculation of sensory neuron axon (GO:0097155)	3	1	.00	+	 > 100	4.07E-03
positive regulation of secondary heart field cardioblast proliferation (GO:0072513)	3	1	.00	+	 > 100	4.07E-03
regulation of cytokine activity (GO:0060300)	4	1	.00	+	 > 100	5.08E-03
ubiquitin-dependent protein catabolic process via the C-end degron rule pathway (GO:0140627)	4	1	.00	+	 > 100	5.08E-03
embryonic body morphogenesis (GO:0010172)	6	1	.01	+	 > 100	7.11E-03
semicircular canal morphogenesis (GO:0048752)	6	1	.01	+	 > 100	7.11E-03
histone dephosphorylation (GO:0016576)	6	1	.01	+	 > 100	7.11E-03
thermoception (GO:0050955)	7	1	.01	+	 > 100	8.12E-03
outer ear morphogenesis (GO:0042473)	7	1	.01	+	 > 100	8.12E-03
mesodermal cell fate specification (GO:0007501)	7	1	.01	+	 > 100	8.12E-03
sequestering of BMP from receptor via BMP binding (GO:0038098)	8	1	.01	+	 > 100	9.13E-03
semicircular canal development (GO:0060872)	8	1	.01	+	 > 100	9.13E-03
otic vesicle morphogenesis (GO:0071600)	9	1	.01	+	 > 100	1.01E-02
regulation of secondary heart field cardioblast proliferation (GO:0003266)	9	1	.01	+	 > 100	1.01E-02
regulation of cardioblast proliferation (GO:0003264)	10	1	.01	+	98.07	1.12E-02
