seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X003	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	240775333	240775419	87	*	X029	64388	240652873	240775462	122590	-	0	inside	42	GREM2
chr2	114737068	114737090	23	*	X041	440900	114737146	114764887	27742	+	55	upstream	55	LINC01191
chr2	114737558	114737635	78	*	X042	100499194	114735246	114737561	2316	-	0	overlapStart	0	LOC100499194
chr2	170440600	170440674	75	*	X046	9360	170440850	170494254	53405	+	175	upstream	175	PPIG
chr3	56717494	56717705	212	*	X058	23272	56654160	56717135	62976	-	358	upstream	358	TASOR
chr3	89156831	89156871	41	*	X061	2042	89156674	89531284	374611	+	0	inside	156	EPHA3
chr3	89156903	89156986	84	*	X062	2042	89156674	89531284	374611	+	0	inside	228	EPHA3
chr5	8457927	8457941	15	*	X091	100505738	8457800	8463209	5410	+	0	inside	126	MIR4458HG
chr5	8457927	8457941	15	*	X091	729506	8333596	8457677	124082	-	249	upstream	249	LINC02226
chr5	114881006	114881025	20	*	X100	56929	114856608	114880591	23984	-	414	upstream	414	FEM1C
chr5	114881040	114881061	22	*	X101	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	179499282	179499515	234	*	X105	55819	179382474	179499109	116636	-	172	upstream	172	RNF130
chr6	26216640	26216719	80	*	X107	3012	26217148	26217711	564	+	428	upstream	428	H2AC8
chr6	26216640	26216719	80	*	X107	8339	26216428	26216872	445	-	0	inside	152	H2BC8
chr7	56516104	56516160	57	*	X126	650226	56491397	56516068	24672	-	35	upstream	35	LOC650226
chr7	56516214	56516261	48	*	X127	650226	56491397	56516068	24672	-	145	upstream	145	LOC650226
chr7	130132207	130132229	23	*	X142	317751	130126898	130131013	4116	-	1193	upstream	1193	MESTIT1
chr7	130132247	130132369	123	*	X143	317751	130126898	130131013	4116	-	1233	upstream	1233	MESTIT1
chr8	69242850	69242863	14	*	X161	116328	69242957	69731258	488302	+	93	upstream	93	C8orf34
chr8	72273965	72274334	370	*	X163	2138	72109668	72274467	164800	-	0	inside	132	EYA1
chr8	72988086	72988121	36	*	X164	8989	72933486	72987819	54334	-	266	upstream	266	TRPA1
chr9	37079360	37079466	107	*	X179	100506710	37079893	37090398	10506	+	426	upstream	426	EBLN3P
chr10	124714064	124714223	160	*	X199	80007	124690419	124713919	23501	-	144	upstream	144	C10orf88
chr16	3355256	3355287	32	*	X255	7627	3355433	3368576	13144	+	145	upstream	145	ZNF75A
chr16	3355256	3355287	32	*	X255	91151	3348808	3355439	6632	-	0	inside	151	TIGD7
chr16	4589122	4589129	8	*	X259	29965	4560677	4588816	28140	-	305	upstream	305	CDIP1
chr16	30108047	30108113	67	*	X261	83719	30103635	30107537	3903	-	509	upstream	509	YPEL3
chr16	30108252	30108553	302	*	X262	83719	30103635	30107537	3903	-	714	upstream	714	YPEL3
chr16	30108589	30108599	11	*	X263	83719	30103635	30107537	3903	-	1051	upstream	1051	YPEL3
chr17	57642632	57642770	139	*	X284	79665	57642886	57685713	42828	+	115	upstream	115	DHX40
chr19	35596674	35597084	411	*	X326	100128675	35549963	35597208	47246	-	0	inside	123	HPN-AS1
chr19	37157578	37157883	306	*	X329	92283	37128283	37157739	29457	-	0	overlapStart	0	ZNF461
chr19	37958420	37958546	127	*	X333	148268	37958674	37976242	17569	+	127	upstream	127	ZNF570
chr19	37958562	37958632	71	*	X334	148268	37958674	37976242	17569	+	41	upstream	41	ZNF570
chr19	52511390	52511681	292	*	X336	284370	52494587	52511483	16897	-	0	overlapStart	0	ZNF615
chr19	57018788	57018819	32	*	X339	57573	57019212	57040269	21058	+	392	upstream	392	ZNF471
chr19	57018850	57019110	261	*	X340	57573	57019212	57040269	21058	+	101	upstream	101	ZNF471
chr19	57019124	57019156	33	*	X341	57573	57019212	57040269	21058	+	55	upstream	55	ZNF471
chr19	57019183	57019202	20	*	X342	57573	57019212	57040269	21058	+	9	upstream	9	ZNF471
chr19	58513903	58513903	1	*	X346	100128398	58514262	58518574	4313	+	358	upstream	358	LOC100128398
chr21	17960829	17961098	270	*	X366	406912	17962557	17962645	89	+	1458	upstream	1458	MIR125B2
chr21	39601218	39601330	113	*	X376	3772	39601837	39673746	71910	+	506	upstream	506	KCNJ15
chr21	39601407	39601557	151	*	X377	3772	39601837	39673746	71910	+	279	upstream	279	KCNJ15
chr22	42485850	42485888	39	*	X381	100132273	42486937	42532702	45766	+	1048	upstream	1048	NDUFA6-DT
